"C-gbcode","C-source","N-pinyin","N-local","N-hanzi","H","A","change","P","fromdate","todate","NOTES"
130634,"CM","Rongcheng","Rongcheng","容城",3,5,"CH",0,19941217,19941231,
130635,"CM","Quyang","Quyang","曲陽",3,5,"CH",0,19941217,19941231,
130636,"CM","Fuping","Fuping","阜平",3,5,"CH",0,19941217,19941231,
130637,"CM","Boye","Boye","博野",3,5,"CH",0,19941217,19941231,
130638,"CM","Li xian","Li xian","蠡縣",3,5,"CH",0,19941217,19941231,
130681,"CM","Dingzhou shi","Dingzhou shi","定州市",9,3,"CH",0,19941217,19941231,
130682,"CM","Zhuozhou shi","Zhuozhou shi","涿州市",9,3,"CH",0,19941217,19941231,
130683,"CM","Anguo shi","Anguo shi","安國市",9,3,"CH",0,19941217,19941231,
130684,"CM","Gaobeidian shi","Gaobeidian shi","高碑店市",9,3,"CH",0,19941217,19941231,
130700,"GB","Zhangjiakou shi","Zhangjiakou shi","張家口市",0,0,"T",3,19930619,19941231,
130700,"GB","Zhangjiakou shi","Zhangjiakou shi","張家口市",0,0,"CHA",3,19831115,19930618,
130701,"GB","Zhangjiakou shixiaqu","Zhangjiakou shixiaqu","張家口市轄區",3,1,,0,19831115,19891219,
130701,"GB","Zhangjiakou shixiaqu","Zhangjiakou shixiaqu","張家口市轄區",3,1,"T",0,19891220,19941231,
130702,"GB","Zhangjiakou: Qiaodong qu","Zhangjiakou: Qiaodong qu","張家口﹕橋東區",3,2,,0,19831115,19941231,
130703,"GB","Zhangjiakou: Qiaoxi qu","Zhangjiakou: Qiaoxi qu","張家口﹕橋西區",3,2,,0,19831115,19941231,
130704,"GB","Zhangjiakou: Chafang qu","Zhangjiakou: Chafang qu","張家口﹕茶坊區",3,2,,0,19831115,19891220,
130705,"GB","Zhangjiakou: Xuanhua qu","Zhangjiakou: Xuanhua qu","張家口﹕宣化區",3,2,,0,19831115,19941231,
130706,"GB","Zhangjiakou: Xiahuayuan qu","Zhangjiakou: Xiahuayuan qu","張家口﹕下花園區",3,2,,0,19831115,19941231,
130707,"GB","Zhangjiakou: Pangjiabu qu","Zhangjiakou: Pangjiabu qu","張家口﹕龐家堡區",3,2,,0,19831115,19891220,
130721,"GB","Xuanhua","Xuanhua","宣化",3,5,"CH",0,19831115,19891219,
130721,"GB","Xuanhua","Xuanhua","宣化",3,5,"T",0,19891220,19941231,
130722,"GB","Zhangbei","Zhangbei","張北",3,5,"CH",0,19930619,19941231,
130723,"GB","Kangbao","Kangbao","康保",3,5,"CH",0,19930619,19941231,
130724,"GB","Guyuan","Guyuan","沽源",3,5,"CH",0,19930619,19941231,
130725,"GB","Shangyi","Shangyi","尚義",3,5,"CH",0,19930619,19941231,
130726,"GB","Yu xian","Yu xian","蔚縣",3,5,"CH",0,19930619,19941231,
130727,"GB","Yangyuan","Yangyuan","陽原",3,5,"CH",0,19930619,19941231,
130728,"GB","Huai`an","Huai`an","懷安",3,5,"CH",0,19930619,19941231,
130729,"GB","Wanquan","Wanquan","萬全",3,5,"CH",0,19930619,19941231,
130730,"GB","Huailai","Huailai","懷來",3,5,"CH",0,19930619,19941231,
