130923,東光,Dongguang,Dongguang,3,,
130924,海興,Haixing,Haixing,3,,
130925,鹽山,Yanshan,Yanshan,3,,
130926,肅寧,Suning,Suning,3,,
130927,南皮,Nanpi,Nanpi,3,,
130928,吳橋,Wuqiao,Wuqiao,3,,
130929,獻縣,Xian xian,Xian xian,3,,
130930,孟村回族自治縣,Mengcun Hui zizhixian,Mengcun Hui zizhixian,3,,
130981,泊頭市,Potou shi,Potou shi,3,,
130982,任丘市,Renqiu shi,Renqiu shi,3,38.7039410,116.0832980
130983,黃驊市,Huanghua shi,Huanghua shi,3,,
130984,河間市,Hejian shi,Hejian shi,3,,
131000,廊坊市,Langfang shi,Langfang shi,2,39.3932239,116.7555177
131001,廊坊市轄區,Langfang shixiaqu,Langfang shixiaqu,3,,
131002,廊坊﹕安次區,Langfang: Anci qu,Langfang: Anci qu,3,,
131003,广阳区,,,3,39.5231110,116.7117441
131022,固安,Gu'an,Gu'an,3,,
131023,永清,Yongqing,Yongqing,3,,
131024,香河,Xianghe,Xianghe,3,,
131025,大城,Daicheng,Daicheng,3,,
131026,文安,Wen'an,Wen'an,3,,
131028,大廠回族自治縣,Dachang Huizu zizhixian,Dachang Huizu zizhixian,3,,
131081,霸州市,Bazhou shi,Bazhou shi,3,39.1041808,116.5993488
131082,三河市,Sanhe shi,Sanhe shi,3,39.9490296,117.0100486
131100,衡水市,Hengshui,,2,37.7352989,115.6986845
131101,市辖区,City area,,3,,
131102,桃城区,,,3,37.7349935,115.6752956
131121,枣强县,,,3,37.5138194,115.7242084
131122,武邑县,,,3,37.8016547,115.8876514
131123,武强县,,,3,38.0401909,115.9818506
131124,饶阳县,,,3,38.2358880,115.7258284
131125,安平县,,,3,38.2345059,115.5192125
131126,故城县,,,3,37.3474561,115.9658861
131127,景县,,,3,37.6923191,116.2706494
131128,阜城县,,,3,37.8688741,116.1444139
131181,冀州市,,,3,37.5510251,115.5793798
131182,深州市,,,3,38.0008212,115.5600142
140000,山西省,Shanxi,,1,37.8357424,112.5223053
140100,太原市,Taiyuan shi,Taiyuan shi,2,37.8357424,112.5223053
140101,太原市轄區,Taiyuan shixiaqu,Taiyuan shixiaqu,3,,
140105,小店区,,,3,37.7360371,112.5656390
140106,迎泽区,,,3,37.8632671,112.5633860
140107,杏花岭区,,,3,37.8844818,112.5622165
140108,尖草坪区,,,3,37.9402292,112.4869752
140109,万柏林区,,,3,37.8594978,112.5156856
140110,晋源区,,,3,37.7153228,112.4776733
140121,清徐,Qingxu,Qingxu,3,,
140122,陽曲,Yangqu,Yangqu,3,,
140123,婁煩,Loufan,Loufan,3,,
140181,古交市,Gujiao shi,Gujiao shi,3,37.9104140,112.0436811
140200,大同市,Datong shi,Datong shi,2,40.0557794,113.2266212
140201,大同市轄區,Datong shixiaqu,Datong shixiaqu,3,,
140202,大同﹕城區,Datong: Chengqu,Datong: Chengqu,3,,
140203,大同﹕礦區,Datong: Kuangqu,Datong: Kuangqu,3,,
140211,大同﹕南郊區,Datong: Nanjiao qu,Datong: Nanjiao qu,3,,
140212,大同﹕新榮區,Datong: Xinrong qu,Datong: Xinrong qu,3,,
140221,陽高,Yanggao,Yanggao,3,,
140222,天鎮,Tianzhen,Tianzhen,3,,
140223,廣靈,Guangling,Guangling,3,,
140224,靈丘,Lingqiu,Lingqiu,3,,
140225,渾源,Hunyuan,Hunyuan,3,,
140226,左雲,Zuoyun,Zuoyun,3,,
140227,大同,Datong,Datong,3,,
140300,陽泉市,Yangquan shi,Yangquan shi,2,,
140301,陽泉市轄區,Yangquan shixiaqu,Yangquan shixiaqu,3,,
140302,陽泉﹕城區,Yangquan: Chengqu,Yangquan: Chengqu,3,,
140303,陽泉﹕礦區,Yangquan: Kuangqu,Yangquan: Kuangqu,3,,
140311,陽泉﹕郊區,Yangquan: Jiaoqu,Yangquan: Jiaoqu,3,,
140321,平定,Pingding,Pingding,3,,
140322,盂縣,Yu xian,Yu xian,3,,
140400,長治市,Changzhi shi,Changzhi shi,2,,
140401,長治市轄區,Changzhi shixiaqu,Changzhi shixiaqu,3,,
140402,長治﹕城區,Changzhi: Chengqu,Changzhi: Chengqu,3,,
140411,長治﹕郊區,Changzhi: Jiaoqu,Changzhi: Jiaoqu,3,,
140421,長治,Changzhi,Changzhi,3,,
140423,襄垣,Xiangyuan,Xiangyuan,3,,
140424,屯留,Tunliu,Tunliu,3,,
140425,平順,Pingshun,Pingshun,3,,
140426,黎城,Licheng,Licheng,3,,
140427,壺關,Huguan,Huguan,3,,
140428,長子,Zhangzi,Zhangzi,3,,
140429,武鄉,Wuxiang,Wuxiang,3,,
140430,沁縣,Qin xian,Qin xian,3,,
140431,沁源,Qinyuan,Qinyuan,3,,
140481,潞城市,Lucheng shi,Lucheng shi,3,36.3340900,113.2288957
140500,晉城市,Jincheng shi,Jincheng shi,2,,
